sample_short	biology	spatial	well	batch	rank_id	area_gpt	included
scDVP-S4	Border	plusone	B22	FAR	44	4805901.5	TRUE
scDVP-S4	Border	minusone	B3	FAR	25	4720583	FALSE
scDVP-S4	Border	minusone	B4	FAR	26	2732081	TRUE
scDVP-S4	Border	minusone	B5	FAR	27	4537802	TRUE
scDVP-S4	Border	plustwo	B6	FAR	28	9028253	TRUE
scDVP-S4	Border	plustwo	B7	FAR	29	3089492	TRUE
scDVP-S4	Border	plusone	B8	FAR	30	5470941	FALSE
scDVP-S4	Border	plusone	B9	FAR	31	3205412	TRUE
scDVP-S5	Border	plustwo	C1	FAR	1	4523346.5	TRUE
scDVP-S5	Border	plusone	C10	FAR	10	1454727	TRUE
scDVP-S5	Border	plusone	C11	FAR	11	3745760	TRUE
scDVP-S5	Border	plustwo	C12	FAR	12	1126632	FALSE
scDVP-S5	Border	plusone	C13	FAR	13	3342274	TRUE
scDVP-S5	Border	plusone	C14	FAR	14	2733141.5	TRUE
scDVP-S5	Border	plusone	C15	FAR	15	1221636	TRUE
scDVP-S5	Border	plusone	C16	FAR	16	5542934	TRUE
scDVP-S5	Border	plusone	C17	FAR	17	3843481	TRUE
scDVP-S5	Border	plusone	C18	FAR	18	2128908.5	FALSE
scDVP-S5	Border	plusone	C19	FAR	19	2469001	FALSE
scDVP-S5	Border	plustwo	C2	FAR	2	3335848.5	TRUE
scDVP-S5	Border	plusone	C20	FAR	20	3385321.5	TRUE
scDVP-S5	Border	minusone	C21	FAR	21	5514652.5	TRUE
scDVP-S5	Border	plusone	C22	FAR	22	3197167	TRUE
scDVP-S5	Border	plustwo	C3	FAR	3	1190241.5	TRUE
scDVP-S5	Border	plustwo	C4	FAR	4	3697675.5	TRUE
scDVP-S5	Border	plustwo	C5	FAR	5	3393705	TRUE
scDVP-S5	Border	plustwo	C7	FAR	7	2906185.5	TRUE
scDVP-S5	Border	plusone	C8	FAR	8	2891065.5	TRUE
scDVP-S5	Border	minusone	C9	FAR	9	3222386	TRUE
scDVP-S5	Border	plusone	D1	FAR	23	3186790.5	TRUE
scDVP-S5	Border	minusone	D10	FAR	32	3125734	TRUE
scDVP-S5	Border	minusone	D11	FAR	33	6781199	TRUE
scDVP-S5	Border	minusone	D12	FAR	34	2243966	TRUE
scDVP-S5	Border	minusone	D13	FAR	35	2395292	TRUE
scDVP-S5	Border	minustwo	D14	FAR	36	1774835.5	TRUE
scDVP-S5	Border	minustwo	D15	FAR	37	4196252.5	TRUE
scDVP-S5	Border	minustwo	D16	FAR	38	3782200.5	TRUE
scDVP-S5	Border	minustwo	D17	FAR	39	2198736.5	TRUE
scDVP-S5	Border	minustwo	D18	FAR	40	1429852.5	TRUE
scDVP-S5	Border	minustwo	D19	FAR	41	1708552	TRUE
scDVP-S5	Border	plusone	D2	FAR	24	1637119.5	TRUE
scDVP-S5	Border	minustwo	D20	FAR	42	3303944	TRUE
scDVP-S5	Border	minusone	D21	FAR	43	3702057	TRUE
scDVP-S5	Border	plusone	D22	FAR	44	2161787	FALSE
scDVP-S5	Border	plusone	D3	FAR	25	3104266.5	FALSE
scDVP-S5	Border	minusone	D4	FAR	26	4810990.5	TRUE
scDVP-S5	Border	minusone	D5	FAR	27	1038182.5	FALSE
scDVP-S5	Border	plusone	D6	FAR	28	3402381.5	TRUE
scDVP-S5	Border	plusone	D7	FAR	29	1812785	TRUE
scDVP-S5	Border	minusone	D8	FAR	30	4155965	TRUE
scDVP-S5	Border	minusone	D9	FAR	31	3898733	TRUE
scDVP-S6	Border	plustwo	E1	FAR	1	5949991	FALSE
scDVP-S6	Border	plustwo	E10	FAR	10	2527383.5	TRUE
scDVP-S6	Border	plustwo	E11	FAR	11	3196830.5	TRUE
scDVP-S6	Border	plusone	E12	FAR	12	3442418.5	FALSE
scDVP-S6	Border	plusone	E13	FAR	13	6556975	TRUE
scDVP-S6	Border	plustwp	E14	FAR	14	6129037.5	FALSE
scDVP-S6	Border	plusone	E15	FAR	15	7090854	TRUE
scDVP-S6	Border	minusone	E16	FAR	16	5479574.5	TRUE
scDVP-S6	Border	plusone	E17	FAR	17	4929878	TRUE
scDVP-S6	Border	minusone	E18	FAR	18	3278457.5	FALSE
scDVP-S6	Border	plusone	E19	FAR	19	6017550.5	TRUE
scDVP-S6	Border	plustwo	E2	FAR	2	5493926.5	TRUE
scDVP-S6	Border	plusone	E20	FAR	20	3578590	TRUE
scDVP-S6	Border	plusone	E21	FAR	21	6558639.5	TRUE
scDVP-S6	Border	minusone	E22	FAR	22	2594728	TRUE
scDVP-S6	Border	plusone	E3	FAR	3	7390616	TRUE
scDVP-S6	Border	plustwo	E4	FAR	4	4419217	TRUE
scDVP-S6	Border	plusone	E5	FAR	5	4772186.5	TRUE
scDVP-S6	Border	plusone	E6	FAR	6	5274420.5	FALSE
scDVP-S6	Border	plustwo	E7	FAR	7	4877153	FALSE
scDVP-S6	Border	plustwo	E8	FAR	8	2219359	TRUE
scDVP-S6	Border	plustwo	E9	FAR	9	3870011.5	TRUE
scDVP-S6	Border	minusone	F1	FAR	23	6165331	FALSE
scDVP-S6	Border	minusone	F10	FAR	32	5118195.5	FALSE
scDVP-S6	Border	minusone	F11	FAR	33	8607163.5	TRUE
scDVP-S6	Border	minusone	F12	FAR	34	1874859.5	FALSE
scDVP-S6	Border	minusone	F13	FAR	35	3380681	TRUE
scDVP-S6	Border	plustwo	F14	FAR	36	2804229	TRUE
scDVP-S6	Border	plustwo	F15	FAR	37	2218462	TRUE
scDVP-S6	Border	plustwo	F16	FAR	38	6234607	FALSE
scDVP-S6	Border	plusone	F17	FAR	39	2964016	TRUE
scDVP-S6	Border	plusone	F18	FAR	40	6090431.5	TRUE
scDVP-S6	Border	minusone	F19	FAR	41	6519568.5	TRUE
scDVP-S6	Border	plusone	F2	FAR	24	8612908	TRUE
scDVP-S6	Border	plustwo	F20	FAR	42	5524088	TRUE
scDVP-S6	Border	plustwo	F21	FAR	43	3858540.5	TRUE
scDVP-S6	Border	minusone	F22	FAR	44	6169488.5	TRUE
scDVP-S6	Border	minusone	F3	FAR	25	3555682	FALSE
scDVP-S6	Border	plusone	F4	FAR	26	3556846.5	TRUE
scDVP-S6	Border	minusone	F5	FAR	27	2028833	TRUE
scDVP-S6	Border	plusone	F6	FAR	28	3128373.5	TRUE
scDVP-S6	Border	minusone	F7	FAR	29	2490331	TRUE
scDVP-S6	Border	minusone	F8	FAR	30	1755023.5	TRUE
scDVP-S6	Border	plusone	F9	FAR	31	5100281.5	TRUE
