Genes	Bin_1	Bin_2	Bin_3	Bin_4	Bin_5	Bin_6	Bin_7	Bin_8	Bin_9	Bin_10	adj.P.Val
ABCA8	0.1002740485425163	0.1049169745124182	0.10935936589160779	0.09437219726294041	0.10579754660705443	0.09061099824923083	0.11104897348999342	0.09905927229533436	0.07926950398904863	0.1052911191598557	0.8239006442613644
ABCB1	0.10638502289572531	0.09896725529853527	0.10593233812280825	0.10555776250440461	0.09128282569315199	0.09955448419349486	0.086168953084782	0.11133927940030287	0.10421835828531492	0.09059372052147985	0.0037527181305697555
ABCB10	0.09915371723222374	0.10083990034877137	0.11734442955378131	0.12907981168212687	0.08077055231361187	0.09462183796085448	0.09291255383990893	0.12443389252291974	0.0782323709806595	0.08261093356514215	0.9427558228084052
ABCB11	0.13678594583638704	0.12873606709630014	0.11314207263753318	0.0887946360965109	0.08455945698096431	0.09232435810251839	0.10042714662359375	0.07833714231219874	0.0942592398139319	0.08263393450006165	1.6992186383043728e-7
ABCB4	0.12180937934227588	0.11743551537302377	0.10813437664492039	0.10544553087491584	0.09452214625315813	0.09881367652418743	0.08359689345016716	0.08878206431461608	0.0992403492468271	0.08222006797590818	2.5708903290236106e-5
ABCB6	0.13180988858557896	0.1002113147862547	0.10729985889863705	0.09909728154501446	0.10736847844589091	0.08050649664083219	0.09832637416275856	0.07859733944526866	0.0864216640031171	0.11036130348664747	4.411225799047213e-5
ABCB7	0.08855275056578606	0.09653494264661107	0.09607916612471509	0.09597025159546543	0.09913871997213194	0.09229441171308789	0.09907204792329535	0.13100792418065824	0.09392111693296022	0.10742866834528869	0.7758815269932335
ABCB8	0.09418207871535442	0.0881061371471164	0.09835306630578552	0.11698377821553566	0.09986536267443501	0.10262294927699994	0.10132541111099254	0.10431603270753126	0.10373317801181924	0.09051200583442999	0.764956881746825
ABCC2	0.12765743309127048	0.11424920433065948	0.0985492237261655	0.10520230901525132	0.07835504271003002	0.08084353643498009	0.10748580763386581	0.09512942037335329	0.10230017842005883	0.09022784426436523	1.3211701039047771e-6
ABCC3	0.08735282558569846	0.07529407243190271	0.10375873137325355	0.09563264011860759	0.09209199616325901	0.12664799478401567	0.08592610757387334	0.10307505255627503	0.12432030504271184	0.10590027437040278	0.3335700908866768
ABCC6	0.10910036526247666	0.10655012174586048	0.10245374382928081	0.11342973197342815	0.09843822803087005	0.09313864659674273	0.11414945088027358	0.09092422475240067	0.0811687484719644	0.09064673845670246	0.0099554173259192
ABCC9	0.01438229206401476	0.024416088567831347	0.06750104938077692	0.10343781906093842	0.12283039967539151	0.09932994614978255	0.19407250339631646	0.061167160140765994	0.1277874304589272	0.18507531110525477	2.090273077158252e-5
ABCD1	0.07309487001377038	0.08292823818912168	0.09685699540950857	0.08982923015101209	0.09933956073442748	0.10610519811574931	0.101587324791387	0.13051581530552928	0.11181477044039138	0.10792799684910286	9.162273555365437e-7
ABCD2	0.11875986077722561	0.15155146236696385	0.06599323372005904	0.12577208896477474	0.0978663725508742	0.10471442511798584	0.10996424479258046	0.10429326752851986	0.06531810601472575	0.05576693816629065	0.28867221505978846
ABCD3	0.07412608812299337	0.0835215486635022	0.09476745680791639	0.11617834049483916	0.10162287101999805	0.11418933741187504	0.11792642551945356	0.10049648036729869	0.0927065799180954	0.1044648716740282	4.666919560917088e-11
ABCD4	0.0826721163661199	0.10203964962783511	0.0937228976411748	0.09692258314250687	0.1009054579199927	0.11028086105497552	0.1082826883165107	0.09080667901063719	0.11241486150145712	0.10195220541879009	0.23038746852358966
ABCE1	0.09125875447446294	0.09286399156205166	0.0988594486863297	0.10514598097598386	0.09686897863250105	0.0997348525215018	0.09532886699524522	0.10107125211439442	0.1119091395091992	0.1069587345283302	0.10770414645598221
ABCF1	0.09688245479042745	0.09397053421371784	0.10204497643676623	0.09918938408685482	0.09549519660685718	0.09231604181205619	0.11333131671299765	0.09052518847647445	0.113930568111056	0.10231433875279217	0.17456463351192505
ABCF2	0.10697657036530292	0.09184334449917876	0.12403999259951239	0.09744420267041708	0.0712270859359155	0.0972485960110257	0.10557091514937572	0.10266580297163015	0.12342097182939019	0.07956251796825167	0.1656957931654889
ABCF3	0.10973431073991408	0.0950969635528806	0.10153249436509017	0.0883712308196143	0.1071266046955955	0.0868188735788553	0.08675605815159682	0.10257762663788597	0.08832663167683798	0.13365920578172935	0.28339668148024516
ABCG5	0.11857452280373207	0.0936913929181019	0.09186481136658561	0.10154483403165845	0.09199829751268376	0.09041588572374318	0.09552167403404334	0.08252568409355189	0.1770591859007942	0.05680371161510558	0.003219743519692177
ABCG8	0.11692071252450338	0.11196713260592792	0.10239110471655773	0.11675104420542509	0.12002246667428634	0.09475727804839573	0.10942021408180216	0.07841582478074095	0.08259096628834499	0.0667632560740157	0.8809366328942584
ABHD10	0.09825367729060479	0.0984688411607393	0.11157690197323174	0.10492348569619561	0.11456429246200737	0.10599395071665822	0.08843451287242872	0.11724743904493992	0.07926170346642167	0.08127519531677266	0.7614182812401693
ABHD11	0.10690283966114983	0.11268900733560065	0.11961778898990977	0.11104250489145885	0.05846358412272236	0.10214533630002463	0.09876557880915733	0.13247216847606436	0.097224097100995	0.060677094312917276	0.93004858222094
ABHD12	0.09175298900201022	0.07269480372261629	0.0807157906130265	0.12360898861375536	0.08977593507636801	0.11946727481695872	0.11223858331604096	0.11188918176827313	0.0895404974221839	0.108315955648767	0.2178014967533229
ABHD14B	0.09891858848077778	0.1160921742381581	0.10050791236363267	0.08831862633307384	0.09817401983075413	0.11967697339636126	0.12468387636824706	0.09832228639415959	0.09222213039758928	0.06308341219724634	0.9068643798762829
ABHD15	0.09218540977254389	0.10595388013752897	0.08114735959984994	0.08781867025452891	0.09225883145512714	0.1579011193832405	0.10530556395999759	0.09105170569271713	0.09723461102388356	0.08914284872058231	0.3572876908248927
ABHD16A	0.09351495338344708	0.09279018387830915	0.09318630706384104	0.10092152164772993	0.08782892504850941	0.09898804402759366	0.1058149146762763	0.12441343266659727	0.10140594777717248	0.10113576983052364	0.4138976021550763
ABHD3	0.0863783268417744	0.08803008698874004	0.09028289485164805	0.10336622088614687	0.08951719978013246	0.11212346669912533	0.09593287949012723	0.11173754500161028	0.12050270986534711	0.10212866959534823	0.13261020947477664
ABHD4	0.06438453738645518	0.10583024814278626	0.064844378842078	0.09297326756062088	0.06761536087060696	0.13122989961040818	0.0577513864371424	0.09248176754150854	0.1539459211032948	0.16894323250509874	0.23000483182126175
ABHD5	0.08371237966196333	0.09567042312789523	0.07727736324841905	0.08973252627660498	0.0826226039096839	0.09774149965244218	0.09495815254970244	0.1647790510911672	0.08630307812618311	0.12720292235593855	0.0012670176636940891
ABHD6	0.09435273663170994	0.08369553691240811	0.07952870390684309	0.10072835217323481	0.11857685781317415	0.09247535191475773	0.0885947788773518	0.07902175774902227	0.08304732068340759	0.17997860333809057	0.1653404936156769
