	x	y	RT	fragment	x_aligned	rawfile	fragment_filter
54	12.1261336	450.97052	12.126	b2+ 189.087	0.0533336	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
55	12.15291293	596.87787	12.153	b2+ 189.087	0.080112933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
56	12.17959013	362.72156	12.18	b2+ 189.087	0.106790133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
57	12.20627147	616.5056	12.206	b2+ 189.087	0.133471467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
58	12.23307907	874.28064	12.233	b2+ 189.087	0.160279067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
59	12.25985493	267.9952	12.26	b2+ 189.087	0.187054933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
60	12.2865076	74.132324	12.287	b2+ 189.087	0.2137076	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
61	12.31361107	584.33606	12.314	b2+ 189.087	0.240811067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
62	12.34052667	112.05893	12.341	b2+ 189.087	0.267726667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
63	12.36711413	516.5953	12.367	b2+ 189.087	0.294314133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
64	12.394034	353.51196	12.394	b2+ 189.087	0.321234	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
65	12.42093747	282.49353	12.421	b2+ 189.087	0.348137467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
66	12.4477352	0	12.448	b2+ 189.087	0.3749352	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
67	12.47456933	0	12.475	b2+ 189.087	0.401769333	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
68	12.5015128	0	12.502	b2+ 189.087	0.4287128	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
69	12.5282548	0	12.528	b2+ 189.087	0.4554548	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
70	12.5548932	154.86693	12.555	b2+ 189.087	0.4820932	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
71	12.5819004	131.54051	12.582	b2+ 189.087	0.5091004	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
72	12.6088428	31.889671	12.609	b2+ 189.087	0.5360428	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
73	12.63576707	124.24329	12.636	b2+ 189.087	0.562967067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
74	11.67077733	0	11.671	y10+ 1163.579	-0.402022667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
75	11.69717333	0	11.697	y10+ 1163.579	-0.375626667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
76	11.72390093	0	11.724	y10+ 1163.579	-0.348899067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
77	11.75067573	0	11.751	y10+ 1163.579	-0.322124267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
78	11.77740827	0	11.777	y10+ 1163.579	-0.295391733	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
79	11.8039384	0	11.804	y10+ 1163.579	-0.2688616	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
80	11.83074293	0	11.831	y10+ 1163.579	-0.242057067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
81	11.85751787	0	11.858	y10+ 1163.579	-0.215282133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
82	11.884296	0	11.884	y10+ 1163.579	-0.188504	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
83	11.911254	0	11.911	y10+ 1163.579	-0.161546	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
84	11.93814333	0	11.938	y10+ 1163.579	-0.134656667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
85	11.9652284	0	11.965	y10+ 1163.579	-0.1075716	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
86	11.99219253	0	11.992	y10+ 1163.579	-0.080607467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
87	12.01895573	0	12.019	y10+ 1163.579	-0.053844267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
88	12.04586893	0	12.046	y10+ 1163.579	-0.026931067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
89	12.07276387	0	12.073	y10+ 1163.579	-3.61E-05	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
90	12.0994984	0	12.099	y10+ 1163.579	0.0266984	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
