...1	UMAP1	UMAP2	cluster	cell_id	selected_cluster	slide
5605	6.472621	2.736925	31	8759	31	01_rep1
5606	0.006740622	-0.27960327	24	8761	24	01_rep1
5611	-0.04376003	0.26394546	41	8766	41	01_rep1
5619	4.236092	-0.39512214	50	8774	50	01_rep1
5650	3.2614574	0.9156657	40	8807	40	01_rep1
5653	4.162678	1.1073157	47	8810	47	01_rep1
5662	5.7630343	0.569618	5	8819	5	01_rep1
5665	7.607827	2.647022	36	8822	36	01_rep1
5672	4.3213134	-0.93097734	14	8829	14	01_rep1
5678	2.6747262	0.09765345	2	8836	2	01_rep1
5685	2.4455926	0.84510237	8	8844	8	01_rep1
5700	8.096174	2.0326092	11	8859	11	01_rep1
5720	4.187771	-0.35626945	50	8879	50	01_rep1
5722	8.029276	1.9247245	11	8882	11	01_rep1
5727	4.2296734	-0.46412724	50	8887	50	01_rep1
5737	-0.046330348	0.20319717	41	8898	41	01_rep1
5748	4.9480925	0.27088207	19	8910	19	01_rep1
5768	2.6752641	-0.05977245	2	8930	2	01_rep1
5780	1.8167771	-0.6527121	10	8943	10	01_rep1
5797	1.0297763	-1.2097454	29	8961	29	01_rep1
5805	3.6223786	-0.9673952	26	8969	26	01_rep1
5855	0.97441196	-1.2835497	29	9021	29	01_rep1
5876	-0.052450243	-0.25441995	24	9044	24	01_rep1
5878	4.318914	-0.35537657	50	9046	50	01_rep1
5887	3.9488041	0.35627216	35	9055	35	01_rep1
5896	4.2166467	-1.0354699	14	9065	14	01_rep1
5902	4.1732826	-0.9104162	14	9071	14	01_rep1
5911	0.9180098	-1.1457442	29	9082	29	01_rep1
5912	-0.07177943	-0.3459432	24	9083	24	01_rep1
5923	4.238255	1.1306363	47	9094	47	01_rep1
5947	5.037955	-0.71475863	39	9120	39	01_rep1
5949	4.2573733	-0.45637473	50	9122	50	01_rep1
5950	3.803037	1.7580557	6	9123	6	01_rep1
5952	4.255806	-0.9277014	14	9125	14	01_rep1
5961	2.8200774	-0.7009092	42	9136	42	01_rep1
5963	2.819173	-0.6426022	42	9138	42	01_rep1
5984	4.3343406	1.1527503	47	9159	47	01_rep1
5986	1.132675	0.38621742	13	9161	13	01_rep1
6013	4.997998	-0.61738956	39	9191	39	01_rep1
6027	-0.12152857	-0.31779057	24	9205	24	01_rep1
6029	6.9893064	2.3286414	20	9207	20	01_rep1
6030	4.2770643	-0.92950565	14	9208	14	01_rep1
6036	5.7792134	0.5379775	5	9214	5	01_rep1
6042	7.7204685	2.660879	36	9220	36	01_rep1
6074	3.5736685	-0.7709013	26	9254	26	01_rep1
6091	8.073181	1.9835378	11	9271	11	01_rep1
6105	6.598402	0.17245805	23	9285	23	01_rep1
6119	1.8380568	-0.72479814	10	9300	10	01_rep1
6127	5.645029	0.566009	5	9308	5	01_rep1
