,UMAP1,UMAP2,cluster,cell_id,selected_cluster
47512,12.921189,4.303101,34,70974,0
47513,11.2815485,6.895836,25,70975,0
47514,15.070576,6.370424,5,70976,0
47515,12.636619,8.220705,44,70977,0
47516,10.253243,2.6919708,38,70978,0
47517,13.686673,7.4695015,4,70979,0
47518,11.264737,5.7188697,18,70980,0
47519,12.676864,7.2558136,14,70981,0
47520,12.745015,5.3791924,20,70982,0
47521,11.344872,5.6320987,18,70983,0
47522,12.150021,6.064656,13,70984,0
47523,12.103959,6.901923,42,70985,0
47524,11.123478,4.3831496,9,70986,0
47525,13.7273245,5.976758,48,70987,0
47526,12.223663,8.616834,16,70988,0
47527,13.810619,6.096079,48,70989,0
47528,11.881068,7.5361533,21,70990,0
47529,11.36649,7.299828,25,70991,0
47530,11.578852,8.006546,24,70992,0
47531,12.442392,4.8764606,33,70993,0
47532,14.597897,6.6626115,22,70994,0
47533,14.654434,6.1603565,5,70995,0
47534,11.624531,5.601696,18,70996,0
47535,12.616523,6.8314247,1,70997,0
47536,12.780722,7.917204,44,70998,0
47537,10.895401,4.5373945,9,70999,0
47538,11.156412,5.3563585,46,71000,0
47539,12.162092,6.5565367,42,71001,0
47540,13.61711,7.5968866,4,71002,0
47541,11.110998,7.245673,25,71003,0
47542,13.72498,7.664195,4,71004,0
47543,11.155923,4.9759116,27,71005,0
47544,12.976849,8.182669,47,71006,0
47545,13.661262,7.68761,4,71007,0
47546,12.147233,6.441052,42,71008,0
47547,11.838921,4.9490438,33,71009,0
47548,11.562458,8.227494,24,71010,0
47549,15.063209,7.305143,22,71011,0
47550,10.941586,3.156782,32,71012,0
47551,10.756575,6.5943203,11,71013,0
47552,12.786683,7.631376,44,71014,0
47553,11.49182,5.086279,27,71015,27
47554,12.367982,5.5567575,13,71016,0
47555,11.452811,5.965568,18,71017,0
47556,11.113693,4.527556,9,71019,0
47557,12.308093,4.9549923,33,71020,0
47558,11.798537,8.153515,21,71021,0
47559,10.710997,5.9533377,11,71022,0
47560,12.999763,7.995678,47,71023,0
47561,12.143858,4.8869934,33,71024,0
47562,12.884161,6.4486537,1,71025,0
47563,11.95263,8.07206,21,71026,0
47564,13.647138,5.9262133,48,71027,0
47565,12.717341,7.8141146,44,71028,0
47566,10.567021,5.3886757,46,71029,0
47567,14.340321,5.6183596,48,71030,0
47568,14.142079,6.7030435,37,71031,0
47569,15.290809,6.8100214,39,71032,39
47570,11.236031,3.7768774,32,71033,0
47571,14.820328,7.3241754,22,71034,0
47572,10.911516,4.680498,9,71035,0
47573,11.710985,7.167368,25,71036,0
47574,11.501973,7.1224895,25,71037,0
47575,12.779377,5.7104173,31,71038,0
47576,15.2114935,7.058813,39,71039,0
47577,10.980034,3.2686086,32,71040,0
47578,10.952474,3.2402146,32,71041,0
47579,10.939288,4.8918962,46,71042,0
47580,11.8041115,7.377733,21,71043,0
47581,13.608533,6.6969905,37,71044,0
47582,14.505773,7.899245,41,71045,0
47583,14.69759,6.247717,5,71046,0
47584,13.329448,5.621992,48,71047,0
47585,14.40357,7.126874,22,71048,0
47586,12.587182,4.600128,34,71049,34
47587,11.653463,4.786118,27,71050,0
47588,11.095335,5.7762403,18,71051,0
47589,14.422033,7.1232285,22,71052,0
47590,11.683126,7.7721143,21,71053,0
47591,13.957081,6.2633314,37,71054,0
47592,11.533821,4.912757,27,71055,0
47593,13.558341,8.026706,47,71056,0
47594,15.095461,6.54138,39,71057,0
47595,13.53227,7.616674,4,71058,0
47596,14.852476,6.6678915,22,71059,0
47597,14.194746,7.061719,4,71060,0
47598,12.038233,5.053201,33,71061,0
47599,11.847646,5.778149,18,71062,0
47600,15.188441,7.5370975,17,71063,0
47601,15.106349,6.5838976,39,71064,0
47602,13.044806,8.210152,47,71065,0
47603,13.858284,6.0888147,48,71066,0
47604,11.408572,7.1819835,25,71067,0
47605,15.384872,7.4936476,17,71068,0
47606,12.055936,4.0476093,7,71069,0
47607,12.560937,4.3092313,34,71070,0
47608,11.189832,6.63204,11,71071,0
47609,11.371315,8.31709,24,71072,0
47610,15.107814,6.8889837,39,71073,0
47611,12.762991,6.358228,1,71074,0
47612,12.107966,7.110788,14,71075,0
47613,15.396315,7.2779493,17,71076,0
47614,11.607198,6.280441,18,71077,0
47615,11.172369,5.886452,18,71078,0
47616,14.303688,5.8420625,48,71079,0
47617,11.651763,6.617572,42,71080,0
47618,11.1655445,4.3605795,9,71081,0
47619,11.887654,5.5975504,13,71082,0
47620,11.116303,6.3776803,11,71083,0
47621,12.45337,8.3564825,6,71084,0
47622,12.166967,4.634657,33,71085,0
47623,14.851723,6.409298,5,71086,0
47624,11.751231,7.9775133,21,71087,0
47625,11.581194,7.1567726,25,71088,0
47626,11.081378,5.546093,46,71089,0
47627,11.913196,5.626687,13,71090,0
47628,11.531271,4.886639,27,71091,0
47629,14.005799,7.30757,4,71092,0
47630,10.811945,6.6720185,11,71093,0
47631,11.731517,7.281948,25,71094,0
47632,12.377962,7.1918,14,71095,14
47633,13.472825,6.765824,37,71096,0
47634,11.906778,4.822085,33,71097,0
47635,12.150749,7.103921,14,71098,0
47636,14.6183,5.776372,5,71099,0
47637,14.637553,7.5066323,41,71100,0
47638,14.902575,6.445222,5,71101,0
47639,10.782837,4.5571737,9,71102,0
