,UMAP1,UMAP2,cluster,cell_id,selected_cluster
25238,8.529687,1.8683364,44,34234,0
25239,-0.18118896,1.5005577,49,34236,0
25240,0.56509584,0.5658951,43,34237,0
25241,1.412111,0.40325108,13,34238,0
25242,0.33772007,1.3427652,22,34239,0
25243,0.07388739,1.917683,49,34240,0
25244,1.0635349,2.0199583,22,34241,0
25245,2.8284326,-0.57488877,42,34242,0
25246,3.06448,1.5907229,6,34243,0
25247,7.197312,2.67903,20,34244,0
25248,1.098493,-1.0618093,29,34245,29
25249,6.030431,1.0125136,5,34246,0
25250,3.8568575,1.0374578,47,34247,0
25251,4.0772967,1.7683364,6,34248,0
25252,0.40334108,0.58470684,43,34249,0
25253,7.8550105,1.7802714,11,34250,0
25254,-0.26858395,1.3786314,49,34251,0
25255,3.794801,1.7137717,6,34252,6
25256,-0.13096423,0.70920384,17,34253,0
25257,4.009794,2.1241465,6,34254,0
25258,5.8525763,0.07605917,27,34255,0
25259,3.8424895,1.0713998,47,34256,0
25260,4.421884,2.284293,16,34257,0
25261,0.39468586,1.2937634,43,34258,0
25262,0.24603316,1.3563216,22,34259,0
25263,3.2394264,1.120761,40,34260,0
25264,0.019998768,1.8742218,49,34261,0
25265,-0.39224806,1.8370799,49,34262,0
25266,5.5480895,1.3295008,30,34263,0
25267,2.823997,0.24812473,2,34264,0
25268,2.0075274,2.064272,21,34265,0
25269,3.5117056,0.24823168,35,34266,0
25270,6.6804028,0.78430784,32,34267,32
25271,1.5469366,0.58018506,3,34268,0
25272,4.287567,1.2008251,47,34269,47
25273,0.9659454,1.3532671,22,34270,0
25274,0.68022424,-0.2719186,18,34271,0
25275,5.1900334,0.81777436,30,34272,0
25276,2.340305,1.1846157,8,34273,0
25277,0.3433346,1.4515759,22,34274,0
25278,1.5538135,1.0774577,3,34275,3
25279,6.355745,2.3480482,25,34276,0
25280,5.124598,-0.3887806,39,34277,0
25281,2.983961,1.5975071,6,34278,0
25282,7.343732,1.7793069,4,34279,0
25283,2.2727833,0.3191399,34,34280,0
25284,1.6306885,0.12365479,34,34281,0
25285,-0.2493102,1.5388943,49,34282,0
25286,-0.15208942,1.57728,49,34283,0
25287,2.9357736,-1.0182734,42,34284,0
25288,3.9456549,1.4510273,47,34285,0
25289,0.87135786,0.94000584,43,34286,0
25290,-0.13927844,1.5570986,49,34287,0
25291,8.854992,2.279847,9,34288,9
25292,8.274368,2.3849387,28,34289,0
25293,0.6316638,0.72091526,43,34290,0
25294,0.2270379,1.6058655,22,34291,0
25295,6.460133,0.15211535,23,34292,0
25296,0.21102683,2.0495515,22,34293,0
25297,2.1427488,0.3218992,34,34294,0
25298,4.2088723,0.7471824,47,34295,0
25299,-0.060234107,-0.030276554,41,34296,0
25300,5.06239,2.0822592,16,34297,16
25301,3.9090455,-0.019365042,35,34298,0
25302,0.14665096,0.7911198,17,34299,0
25303,0.88848466,0.0704402,13,34300,0
25304,-0.3354885,1.9051695,49,34301,0
25305,4.5300503,2.3144166,16,34302,0
25306,-0.20130157,1.3623389,49,34303,0
25307,5.524401,2.1391122,45,34304,0
25308,1.3084804,1.8441795,22,34305,0
25309,0.6288182,-0.52419347,48,34306,0
25310,0.29341158,1.7337551,22,34307,0
25311,2.8352249,-0.37555408,2,34308,0
25312,0.3246121,0.27401662,18,34309,0
25313,0.97209495,1.5840573,22,34310,0
25314,3.7754076,-0.83877814,26,34311,0
25315,0.79879653,-0.91780347,29,34312,0
25316,1.3309157,0.7322004,3,34313,0
25317,6.582615,2.6829252,31,34314,0
25318,-0.079410195,0.67131126,17,34315,0
25319,2.1901228,0.8888005,8,34316,0
25320,6.0128856,2.1842191,45,34317,45
25321,4.649684,0.1577764,19,34318,0
25322,0.77830786,-0.18113184,18,34319,0
25323,4.974372,1.8758843,16,34320,0
25324,2.227141,-0.02450938,34,34321,0
25325,2.892679,1.4619184,21,34322,0
25326,4.8750143,2.0264802,16,34323,16
25327,0.02865619,-0.19069041,24,34324,0
25328,3.5624924,1.1833849,40,34325,0
25329,-0.1336651,0.10426992,41,34326,0
25330,2.3329668,1.6377538,21,34327,0
25331,7.325131,1.9858822,4,34328,0
25332,0.62746453,2.422658,15,34329,0
25333,4.4106994,0.8390112,47,34330,0
25334,3.2412875,0.6732442,40,34331,0
25335,1.7777219,2.0123122,21,34332,0
25336,7.5112243,0.9712188,1,34333,0
25337,3.9242005,1.1180594,47,34334,0
25338,1.6432928,0.32413942,34,34335,0
25339,0.54399043,-0.5054548,48,34336,48
25340,6.0549283,2.1358297,45,34337,0
25341,-0.05917171,1.2411821,17,34338,0
25342,7.772529,1.0937045,1,34339,0
25343,3.402271,-0.5662571,33,34340,0
25344,0.9949031,-0.4285069,12,34341,0
25345,3.222081,0.94708806,40,34342,40
25346,0.30050248,0.023288231,18,34343,0
25347,1.1421933,0.99463433,3,34344,0
25348,1.9547325,1.0575157,3,34345,0
25349,0.8352157,1.5309869,22,34346,0
25350,1.8330588,0.17688991,34,34347,34
25351,1.1933272,1.9146875,22,34348,0
25352,7.306185,2.778099,36,34349,0
25353,0.16959706,-0.11347911,41,34350,0
25354,-0.008181675,0.79030657,17,34351,0
25355,1.043565,0.51733226,13,34352,0
25356,0.27260342,-0.7442545,48,34353,0
25357,0.9088446,0.84092736,43,34354,0
25358,3.4429476,1.7446377,6,34355,0
25359,8.254448,1.8930392,11,34356,0
25360,8.765046,1.8154426,9,34357,0
25361,5.525236,1.7435875,30,34359,0
25362,8.144346,2.910015,28,34360,0
25363,0.81951237,-0.22160788,12,34361,0
25364,8.426946,2.5585756,28,34362,0
25365,0.32093757,1.4961058,22,34363,0
25366,1.332466,0.79104614,3,34364,0
25367,-0.16555324,1.2016668,17,34365,0
25368,8.203984,2.0153322,11,34366,0
25369,1.6548631,0.031830937,34,34367,0
